accession,taxid,species_taxid,genus_taxid
GCF_001696605.3,1879050,1879050,469
GCF_001704115.1,1789224,1789224,469
GCF_002076915.1,1960083,1960083,1654
GCF_002812705.1,217203,217203,222
GCF_005890135.1,1749,1749,1912215
GCF_009035845.1,470,470,469
GCF_009884975.1,70348,70348,469
GCF_013267395.1,32002,32002,222
GCF_016728825.1,85698,85698,222
GCF_028215975.1,1689834,1689834,119977
GCF_000014805.1,380703,644,642
GCF_000494755.1,1246995,196914,1865
GCF_001593605.1,1727163,1727163,246875
GCF_001660485.1,453304,453304,33877
GCF_003967035.1,2010829,2010829,2707020
GCF_013285525.1,648995,648995,357
GCF_016127855.1,1655,1655,1654
GCF_020149575.1,648794,648794,642
GCF_900637165.1,52771,52771,1654
GCF_900637975.1,1656,1656,1654
GCF_000024505.1,574556,769,768
GCF_000092925.1,639283,921,99
GCF_000220945.1,713604,33910,1813
GCF_001866075.3,1532552,1532552,704093
GCF_001886435.1,314275,314275,226
GCF_003544835.1,1032239,28200,2321111
GCF_012222825.1,1085644,1085644,1869285
GCF_014218335.1,433286,433286,1843210
GCF_016127475.1,33037,33037,165779
GCF_018885265.1,2842453,2842453,1813
GCF_002220285.1,1396,1396,1386
GCF_002355375.1,1500254,1500254,55079
GCF_002892535.1,2067065,2067065,2593687
GCF_003130795.1,2202148,2202148,191
GCF_003627035.1,2419772,2419772,2767877
GCF_013201725.1,873191,873191,28196
GCF_013460135.1,1231049,1231049,637
GCF_016904675.1,1302235,1302235,28263
GCF_037055315.1,1547448,1547448,2801844
GCF_900343015.1,235559,235559,637
GCF_000009045.1,224308,1423,1386
GCF_000025985.1,272559,817,816
GCF_000227465.1,1052585,96241,1386
GCF_000512915.1,880074,397865,397864
GCF_001889165.1,1547283,1547283,1386
GCF_002993925.1,1648923,1648923,1386
GCF_002998435.1,28119,28119,816
GCF_002998535.1,28113,28113,816
GCF_003667885.1,72361,72361,1386
GCF_020519665.1,1983719,1983719,1386
GCF_000196555.1,565042,216816,1678
GCF_000341355.1,1094489,388640,773
GCF_000973505.1,1505596,1505596,203804
GCF_001689125.2,1796616,1796616,572511
GCF_003431825.1,1550728,1550728,150203
GCF_003606345.3,2267275,2267275,773
GCF_014251515.1,1653831,1653831,34098
GCF_014898155.1,1765219,1765219,1678
GCF_015159595.1,2779518,2779518,572511
GCF_900638635.1,33047,33047,773
GCF_000344805.1,1245469,44255,374
GCF_001698185.1,1331258,1331258,517
GCF_001703515.1,2756,2756,2755
GCF_001741865.1,1526658,1526658,85413
GCF_001936255.1,1365188,143,138
GCF_002216795.1,2017485,2017485,43668
GCF_015291705.1,858423,858423,374
GCF_017487345.1,2774189,2774189,41275
GCF_017751225.1,159,159,29521
GCF_026571835.1,29518,29518,64895
GCF_000009085.1,192222,197,194
GCF_000012945.1,482957,482957,32008
GCF_000017585.1,360107,76517,194
GCF_000166335.1,632518,55205,44000
GCF_001718535.1,488731,488731,32008
GCF_002080395.1,28898,28898,194
GCF_002238335.1,522484,522485,194
GCF_005083985.2,1424653,1424653,191301
GCF_013201605.1,1848766,1848766,194
GCF_013372165.1,91353,198,194
GCF_000183665.1,658172,556287,34019
GCF_000816785.1,1388753,488546,194
GCF_002117145.1,1414854,1509244,1509243
GCF_002288005.1,1884915,1884915,2039639
GCF_002288185.1,1884907,1884907,622681
GCF_002302565.1,28188,28188,1016
GCF_003932015.1,471827,471827,471826
GCF_008245005.1,32024,206,194
GCF_008245045.1,1031542,1031542,194
GCF_035013225.1,1878942,1878942,1927833
GCF_000012865.1,246194,129958,129957
GCF_000023285.1,521097,1018,1016
GCF_000060345.1,411154,411153,292691
GCF_000471025.2,1143323,1457153,810
GCF_003815975.1,1241978,1241978,59732
GCF_012516355.1,2725414,2725414,79328
GCF_013403565.1,2739434,2739434,230666
GCF_014303955.1,2576756,2576756,2576755
GCF_018128265.1,1710,1710,157920
GCF_020872015.1,651561,651561,59732
GCF_000063585.1,413999,1491,1485
GCF_000143685.1,748727,1538,1485
GCF_000145275.1,573061,1493,1485
GCF_000218855.1,991791,1488,1485
GCF_002074155.1,29341,29341,1485
GCF_002285635.2,558152,558152,59732
GCF_008705175.1,223919,223919,1485
GCF_016027375.1,1502,1502,1485
GCF_018223745.1,1520,1520,1485
GCF_030585465.1,238834,238834,1485
GCF_000473995.1,1345695,169679,1485
GCF_000968375.1,1548,1548,1485
GCF_001050475.1,1007676,1007676,2767879
GCF_001941425.1,649754,1697,1716
GCF_001941445.1,1431546,203263,1716
GCF_001971585.1,1847728,1847728,2767879
GCF_002056725.1,225992,225992,283
GCF_006007945.1,938155,938155,2767879
GCF_014054725.1,153493,153493,334107
GCF_025149915.1,33043,33043,33042
GCF_000344785.1,1121353,1721,1716
GCF_000442645.1,1224163,575200,1716
GCF_001277195.1,1159613,413501,413496
GCF_001277255.1,1073999,1163710,413496
GCF_001643015.1,1652495,1652495,1716
GCF_003814005.1,2080757,2080757,1716
GCF_008152325.1,2599308,2599308,1848399
GCF_014524565.1,2761580,2761580,2828338
GCF_019884785.1,1286698,1286698,1848399
GCF_030408855.1,187491,187491,1716
GCF_000023845.1,469378,84163,84162
GCF_000219215.1,1042878,106590,106589
GCF_001854325.1,367825,367825,106589
GCF_002224645.1,51515,51515,51514
GCF_006704205.1,1637975,1637975,2675230
GCF_007995155.1,1742359,1742359,2675230
GCF_013347325.1,82541,82541,106589
GCF_014961145.1,1118202,1118202,1433995
GCF_016894385.1,96344,96344,106589
GCF_019602855.1,248026,248026,106589
GCF_000021925.1,272564,49338,36853
GCF_000233715.2,767817,102134,2867376
GCF_000235605.1,768706,1563,79206
GCF_000307105.1,651182,28223,28222
GCF_001643775.1,79604,79604,79603
GCF_005116675.2,2569540,2569540,2886823
GCF_013376475.1,2773299,2773299,2773294
GCF_017377395.1,45655,45655,45654
GCF_020546685.1,243230,1299,1298
GCF_900187045.1,1863,1863,1862
GCF_000025065.1,590409,2893572,204037
GCF_000092205.1,589865,427923,427922
GCF_001553605.1,44742,44742,872
GCF_002887555.1,204042,204042,204037
GCF_003049785.1,204038,204038,204037
GCF_005281475.1,1807691,1807691,390846
GCF_006575665.1,2591634,2591634,390846
GCF_007164725.1,2582419,2582419,39948
GCF_007858975.2,568768,568768,204037
GCF_019704135.1,2802975,2802975,890
GCF_000026005.1,254945,779,943
GCF_000264765.2,667120,1821960,635
GCF_000733715.2,1225174,300,3236654
GCF_002197645.1,2005703,2005703,1350
GCF_002952315.1,79967,79967,551
GCF_003260975.1,1795355,1795355,390846
GCF_009734005.1,1352,1352,1350
GCF_013488205.1,343874,343874,59734
GCF_017167985.1,554344,554344,3236654
GCF_021496385.1,1353,1353,1350
GCF_000005845.2,511145,562,561
GCF_000008865.2,386585,562,561
GCF_000026185.1,465817,338565,551
GCF_000163895.2,546269,143361,44259
GCF_001564455.1,1702221,1702221,1729679
GCF_001663175.1,1112,1112,1041
GCF_001857965.1,1306519,1306519,237
GCF_003355455.1,2182384,2182384,1041
GCF_003970675.1,2494373,2494373,59739
GCF_020097475.1,564,564,561
GCF_000016745.1,351605,351604,2910589
GCF_000145255.1,395494,370405,96
GCF_000195555.1,622488,622488,262
GCF_001895265.1,573570,573570,262
GCF_002217655.1,33938,33938,129337
GCF_003097535.1,2172098,2172098,237
GCF_003122385.1,2183896,2183896,237
GCF_004797125.1,2518177,2518177,237
GCF_011455495.1,123824,123824,1649317
GCF_012277275.1,2716227,2716227,2885697
GCF_000019165.1,498761,35701,2831443
GCF_002356555.2,1052,1052,85108
GCF_004011905.1,84096,84096,2053
GCF_011399095.1,115561,115561,2745
GCF_011617105.1,569,569,568
GCF_013374215.1,104628,104628,209
GCF_014931175.1,157268,157268,209
GCF_020025155.1,2830842,2830842,2901189
GCF_025273675.1,2831662,2831662,2053
GCF_900477945.1,726,726,724
GCF_000019405.1,228400,731,214906
GCF_001399515.1,92945,92945,92944
GCF_001507645.1,1411621,1411621,89966
GCF_001636295.1,1300344,372663,254250
GCF_003719195.1,80842,80842,963
GCF_003925875.1,2487118,2487118,2679910
GCF_013372045.1,29581,29581,29580
GCF_015169395.1,2807512,2807512,2807511
GCF_020099175.1,1463165,1463165,570
GCF_900176385.1,857417,857417,53457
GCF_000024345.1,479435,182640,182639
GCF_000331715.1,1234378,29546,41707
GCF_000468955.1,1295826,1359,1357
GCF_002157205.1,157779,157779,504090
GCF_003999355.1,83683,83683,1578
GCF_009363135.1,551989,551989,1330547
GCF_009676365.1,1599,1599,2767885
GCF_009901525.1,1218801,1218801,221065
GCF_013282215.1,714067,714067,1274351
GCF_025758125.1,208223,208223,1330547
GCF_000214355.1,545695,150829,2951107
GCF_000953635.1,451,451,445
GCF_001543305.1,1273132,1273132,34019
GCF_001701025.1,1586287,1586287,165301
GCF_001941585.1,446,446,445
GCF_003722295.1,408139,408139,171
GCF_008327825.1,157691,157691,32067
GCF_009739535.1,33962,33962,2767893
GCF_013201075.1,1484109,1484109,2804525
GCF_014069315.1,2292255,2292255,2767886
GCF_000763515.1,202751,1638,1637
GCF_001618865.1,1855912,1855912,2004797
GCF_006385595.1,2589080,2589080,242605
GCF_014779555.2,435897,435897,68
GCF_018137965.1,2824561,2824561,518753
GCF_018406465.1,1796635,1796635,1918536
GCF_018406645.1,2675059,2675059,68
GCF_020217405.1,2115968,2115968,400634
GCF_025311515.1,1633,1633,2742598
GCF_035231985.1,1624,1624,2767887
GCF_000195335.1,869210,186192,186191
GCF_000941075.1,86660,86660,2923352
GCF_001854125.1,1874317,1874317,2742
GCF_002305855.1,1294270,83453,44
GCF_003544935.1,870501,1032072,2321114
GCF_009755585.1,453783,453783,68
GCF_009831375.1,411470,33038,2316020
GCF_016865215.1,1903056,1903056,3076173
GCF_016865445.1,2735436,2735436,2903100
GCF_021650955.1,1855823,1855823,3076173
GCF_000008205.1,262719,2099,2923352
GCF_000145235.1,644283,47850,1873
GCF_002080125.1,480,480,475
GCF_004135935.1,569860,569860,1156568
GCF_011047135.1,1526412,1526412,33882
GCF_012913625.1,935547,2066070,68287
GCF_018141545.1,2843216,2843216,2843200
GCF_018734325.1,1173101,1173101,416
GCF_034421895.1,28104,28104,68287
GCF_900475555.1,465515,1270,1269
GCF_000023545.1,579405,69223,2884243
GCF_000253375.1,1048245,78331,1763
GCF_000723425.2,1131442,1781,1763
GCF_001632805.1,1460372,1774,670516
GCF_010730055.1,398694,398694,1763
GCF_010730955.1,319707,319707,1866885
GCF_010731715.1,470076,470076,1763
GCF_015710575.1,2736649,2736649,1866885
GCF_021183725.1,2738409,2738409,1763
GCF_037478055.1,412963,412963,2571159
GCF_000317305.3,700508,1795,1866885
GCF_000477415.1,1403316,984991,2093
GCF_000875755.1,743967,51365,2093
GCF_001553195.1,1117644,29555,2767358
GCF_007859615.1,519450,519450,2093
GCF_010725485.1,39692,39692,1866885
GCF_019456675.1,370524,370524,1866885
GCF_034647275.2,33923,33923,2767358
GCF_900476085.1,2096,2096,2995234
GCF_900660675.1,171282,171282,2767358
GCF_000012685.1,246197,34,32
GCF_000022525.1,434131,950,33993
GCF_000196355.1,323848,1231,35798
GCF_000355765.4,1288494,1288494,35798
GCF_000833025.1,480520,480520,76831
GCF_001273775.1,42253,42253,1234
GCF_002005465.1,320497,320497,320496
GCF_009671065.1,2666100,2666100,482
GCF_013030075.1,485,485,482
GCF_900475315.1,483,483,482
GCF_000009805.1,247156,37329,1817
GCF_000143845.1,633147,133926,133925
GCF_000183745.1,670487,187137,208447
GCF_001742225.1,158500,158500,165696
GCF_002157875.1,1903694,1903694,225143
GCF_003058465.1,2163011,2163011,1921582
GCF_004102045.2,2203724,2203724,46254
GCF_009684715.1,1032623,1032623,1249016
GCF_019357495.1,489910,489910,489909
GCF_900637185.1,1824,1824,1817
GCF_000258535.2,997761,61624,44249
GCF_000612505.1,1268072,365617,44249
GCF_000981585.1,1073571,483937,44249
GCF_003008535.1,2109914,2109914,219181
GCF_003286395.1,2211211,2211211,1822464
GCF_004792415.1,470934,470934,53335
GCF_007971225.1,1813871,1813871,1874621
GCF_008369725.1,253703,253703,44249
GCF_009728935.1,1778678,1778678,44249
GCF_015277775.1,1473598,1473598,1649475
GCF_000009985.1,342108,84159,3031148
GCF_000013645.1,266265,36873,1822464
GCF_000020045.1,391038,148447,1822464
GCF_002902965.1,169430,169430,1822464
GCF_003285265.1,1499308,1499308,265
GCF_003324675.1,2259340,2259340,265
GCF_003555545.1,2315862,2315862,2698688
GCF_008824185.1,82367,82367,265
GCF_016801025.1,1335043,1335043,1573407
GCF_019916025.1,1490,1490,1849822
GCF_000014505.1,278197,1255,1253
GCF_000023825.1,485917,984,84567
GCF_001702215.1,187452,187452,1253
GCF_009873295.1,180957,180957,122277
GCF_012427845.1,2108399,2108399,122277
GCF_013127755.1,1254,1254,1253
GCF_013378075.1,2026624,2026624,1234545
GCF_015679185.1,2789740,2789740,84567
GCF_020971565.1,2778550,2778550,122277
GCF_900637905.1,33033,33033,543311
GCF_000017265.1,450851,284016,20
GCF_000196475.1,291112,291112,29487
GCF_002950575.1,1159327,1159327,1434032
GCF_003585765.1,323450,323450,323449
GCF_008119665.1,1940612,1940612,152267
GCF_011044155.1,2748098,2748098,2831955
GCF_012584515.1,37448,37448,52972
GCF_016888945.1,387090,387090,909656
GCF_020991025.1,703,703,702
GCF_039537485.1,1076124,1076124,907364
GCF_000144405.1,553174,28132,838
